occurrenceID,basisOfRecord,institutionCode,datasetName,occurrenceStatus,eventID,materialSampleID,eventDate,organismQuantity,organismQuantityType,sampleSizeValue,sampleSizeUnit,samplingProtocol,associatedSequences,identificationReferences,identificationRemarks,locationID,decimalLatitude,decimalLongitude,countryCode,fieldNumber,minimumDepthInMeters,maximumDepthInMeters,habitat,occurrenceRemarks,eventRemarks,datasetID,verbatimIdentification,scientificNameID,scientificName,taxonRank,taxonId,taxonConceptID,catalogNumber
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:Otu71,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685731,2020-01-31/2020-05-18,4,DNA sequence reads,5406,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914054,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,uncertain classification (not marine),Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:1066,Crustacea,Subphylum,Otu71,NCBI:6657,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:Otu37,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685731,2020-01-31/2020-05-18,8,DNA sequence reads,5406,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914054,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Mytiloida;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:210,Mytilida,Order,Otu37,NCBI:6546,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:Otu32,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685731,2020-01-31/2020-05-18,7,DNA sequence reads,5406,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914054,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,uncertain classification (not marine),Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Opisthokonta;Metazoa;Cnidaria;NA;NA;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:1267,Cnidaria,Phylum,Otu32,NCBI:6073,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:Otu897,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685731,2020-01-31/2020-05-18,9,DNA sequence reads,5406,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914054,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,uncertain classification (not marine),Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:1066,Crustacea,Subphylum,Otu897,NCBI:6657,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:Otu896,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685731,2020-01-31/2020-05-18,9,DNA sequence reads,5406,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914054,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,uncertain classification (not marine),Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Opisthokonta;Metazoa;Cnidaria;NA;NA;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:1267,Cnidaria,Phylum,Otu896,NCBI:6073,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:Otu752,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685731,2020-01-31/2020-05-18,20,DNA sequence reads,5406,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914054,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,uncertain classification (not marine),Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:1066,Crustacea,Subphylum,Otu752,NCBI:6657,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:Otu208,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685731,2020-01-31/2020-05-18,2,DNA sequence reads,5406,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914054,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,uncertain classification (not marine),Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:1066,Crustacea,Subphylum,Otu208,NCBI:6657,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:Otu1788,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685731,2020-01-31/2020-05-18,2,DNA sequence reads,5406,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914054,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Alveolata;Ciliophora;Heterotrichea;Folliculinidae;NA;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:1692,Folliculinidae,Family,Otu1788,NCBI:219170,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:Otu2020,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685731,2020-01-31/2020-05-18,5,DNA sequence reads,5406,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914054,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Heteroconchia;Hiatella;NA;NA;NA,,Hiatella,genus,Otu2020,NCBI:120430,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:Otu213,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685731,2020-01-31/2020-05-18,9,DNA sequence reads,5406,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914054,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Polar-centric-Mediophyceae;NA;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:345483,Mediophyceae,Class,Otu213,NCBI:589449,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:Otu46,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685731,2020-01-31/2020-05-18,9,DNA sequence reads,5406,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914054,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,uncertain classification (not marine),Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Opisthokonta;Metazoa;Cnidaria;NA;NA;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:1267,Cnidaria,Phylum,Otu46,NCBI:6073,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:Otu45,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685731,2020-01-31/2020-05-18,2,DNA sequence reads,5406,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914054,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,uncertain classification (not marine),Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Opisthokonta;Metazoa;Annelida;NA;NA;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:882,Annelida,Phylum,Otu45,NCBI:6340,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:Otu696,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685731,2020-01-31/2020-05-18,3,DNA sequence reads,5406,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914054,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,CREST classifier; Minimum bit-score 155; LCA bitscore range 2% | PR2 v4.13 | VSEARCH v2.9.1; clustering similarity 97%,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Mytiloida;NA;NA;NA;NA,urn:lsid:marinespecies.org:taxname:210,Mytilida,Order,Otu696,NCBI:6546,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
