occurrenceID,basisOfRecord,institutionCode,datasetName,occurrenceStatus,eventID,materialSampleID,eventDate,organismQuantity,organismQuantityType,sampleSizeValue,sampleSizeUnit,samplingProtocol,associatedSequences,identificationReferences,identificationRemarks,locationID,decimalLatitude,decimalLongitude,countryCode,fieldNumber,minimumDepthInMeters,maximumDepthInMeters,habitat,occurrenceRemarks,eventRemarks,datasetID,verbatimIdentification,scientificNameID,scientificName,taxonRank,taxonId,taxonConceptID,catalogNumber
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_70:05b1cf4e28a192e03312b163914aad6ee6b2016d,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_BelgiumCoast_AJJC81_20200506_20201012,SAMEA10020971,2020-05-06/2020-10-12,10,DNA sequence reads,12,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125481,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.6533567,2.79178508,BE,BelgiumCoast_AJJC81,38.0,38.0,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Chordata;Mammalia;Carnivora;Viverridae;Paradoxurus;Paradoxurus jerdoni,,Eukaryota,domain,ASV_70:05b1cf4e28a192e03312b163914aad6ee6b2016d,NCBI:395009,ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_78:bba021ab83c4810511c40a0d36cf59b4347874b0,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_Crete_1HERP_20200903_20210122,SAMEA10021046,2020-09-03/2021-01-22,4,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Cnidaria;Anthozoa;Scleractinia;Caryophylliidae;Solenosmilia;Solenosmilia variabilis,,Eukaryota,domain,ASV_78:bba021ab83c4810511c40a0d36cf59b4347874b0,NCBI:761947,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_81:d20fdc10a055e6d9fcbda4d26038259b7d171747,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_Crete_1HERP_20200903_20210122,SAMEA10021046,2020-09-03/2021-01-22,5,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Arthropoda;Insecta;Hemiptera;Hormaphididae;Parathoracaphis;Parathoracaphis setigera,,Eukaryota,domain,ASV_81:d20fdc10a055e6d9fcbda4d26038259b7d171747,NCBI:1350450,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_85:0737dab89f1dec0b40ba663ff3f0a77f413cf1ea,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_Crete_1HERP_20200903_20210122,SAMEA10021046,2020-09-03/2021-01-22,7,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Clytiidae;Clytia;Clytia hemisphaerica,,Clytia,genus,ASV_85:0737dab89f1dec0b40ba663ff3f0a77f413cf1ea,NCBI:252671,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_87:19a616801f3fa9a8641a58474dba7878ae2f3a77,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_Crete_1HERP_20200903_20210122,SAMEA10021046,2020-09-03/2021-01-22,4,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Annelida;Polychaeta;Spionida;Spionidae;Polydora;Polydora cornuta,urn:lsid:marinespecies.org:taxname:131143,Polydora cornuta,Species,ASV_87:19a616801f3fa9a8641a58474dba7878ae2f3a77,NCBI:438488,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_91:4d5a4072553b8223f42cd7e84ae6c17513d4d6a0,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_Crete_1HERP_20200903_20210122,SAMEA10021046,2020-09-03/2021-01-22,3,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Arthropoda;Insecta;Coleoptera;Rhagophthalmidae;Rhagophthalmus;Rhagophthalmus lufengensis,,Eukaryota,domain,ASV_91:4d5a4072553b8223f42cd7e84ae6c17513d4d6a0,NCBI:398797,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_98:8e0cfef018d3ccc6b87488831ba66dfaa91d633f,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_Crete_1HERP_20200903_20210122,SAMEA10021046,2020-09-03/2021-01-22,3,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,uncertain classification (not marine),Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Platyhelminthes;Trematoda;Plagiorchiida;Echinochasmidae;Echinochasmus;Echinochasmus japonicus,,Eukaryota,domain,ASV_98:8e0cfef018d3ccc6b87488831ba66dfaa91d633f,NCBI:1197313,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_104:d2e145814c36d03815b4892a7506e44f0bca4194,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_Crete_1HERP_20200903_20210122,SAMEA10021046,2020-09-03/2021-01-22,3,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Asterias;Asterias rubens,urn:lsid:marinespecies.org:taxname:123776,Asterias rubens,Species,ASV_104:d2e145814c36d03815b4892a7506e44f0bca4194,NCBI:7604,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_109:fee798b26a7be66849f82766978752929f51b372,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_Crete_1HERP_20200903_20210122,SAMEA10021046,2020-09-03/2021-01-22,3,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Heilipodus;Heilipodus argentinicus,,Eukaryota,domain,ASV_109:fee798b26a7be66849f82766978752929f51b372,NCBI:558364,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_122:1aa8b214cb26299ccd6f23a8ed60bec08408cdd5,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_Crete_1HERP_20200903_20210122,SAMEA10021046,2020-09-03/2021-01-22,3,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa,urn:lsid:marinespecies.org:taxname:130867,Sabellaria spinulosa,Species,ASV_122:1aa8b214cb26299ccd6f23a8ed60bec08408cdd5,NCBI:1436032,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_142:771fb60671ec1275e21d4aa2d2a0960517b16166,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_Crete_1HERP_20200903_20210122,SAMEA10021046,2020-09-03/2021-01-22,3,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Arthropoda;Insecta;Hemiptera;Scutelleridae;Augocoris;Augocoris gomesii,urn:lsid:marinespecies.org:taxname:1307,Insecta,Subclass,ASV_142:771fb60671ec1275e21d4aa2d2a0960517b16166,NCBI:2080387,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1
