occurrenceID,basisOfRecord,institutionCode,datasetName,occurrenceStatus,eventID,materialSampleID,eventDate,organismQuantity,organismQuantityType,sampleSizeValue,sampleSizeUnit,samplingProtocol,associatedSequences,identificationReferences,identificationRemarks,locationID,decimalLatitude,decimalLongitude,countryCode,fieldNumber,minimumDepthInMeters,maximumDepthInMeters,habitat,occurrenceRemarks,eventRemarks,datasetID,verbatimIdentification,scientificNameID,scientificName,taxonRank,taxonId
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF100_r1:ASV_2388:1748d000d61c03277a75af075cda47f2a7ad3129,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_BelgiumCoast_AZBE1_20190924_20200303,ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF100_r1,2019-09-24/2020-03-03,2,DNA sequence reads,42,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125498,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.364298,3.20701,BE,BelgiumCoast_AZBE1,7.0,7.0,Marina; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Cnidaria;Anthozoa;Corallimorphariag;Corallimorphidae;Corallimorphus;Corallimorphus,no match,no match,no match,ASV_2388:1748d000d61c03277a75af075cda47f2a7ad3129
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF100_r1:ASV_11:047c391e8da0648916508a565f5594a665c33508,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_BelgiumCoast_AZBE1_20190924_20200303,ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF100_r1,2019-09-24/2020-03-03,3,DNA sequence reads,42,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125498,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.364298,3.20701,BE,BelgiumCoast_AZBE1,7.0,7.0,Marina; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Arthropoda;Hexanauplia;Sessiliag;Balanidae;Balanus;Balanus,no match,no match,no match,ASV_11:047c391e8da0648916508a565f5594a665c33508
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF100_r1:ASV_49:4b1b8efdd4945019536bc66190a0b14f59aee272,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_BelgiumCoast_AZBE1_20190924_20200303,ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF100_r1,2019-09-24/2020-03-03,5,DNA sequence reads,42,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125498,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.364298,3.20701,BE,BelgiumCoast_AZBE1,7.0,7.0,Marina; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Arthropoda;Arachnida;Scorpionesg;Vaejovidae;Vaejovis;Vaejovis,no match,no match,no match,ASV_49:4b1b8efdd4945019536bc66190a0b14f59aee272
ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF100_r1:ASV_10:b31edbb8a8e1f43a3afb383a8484ce75efe2da5e,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_BelgiumCoast_AZBE1_20190924_20200303,ARMS_BelgiumCoast_AZBE1_20190924_20200303_MF100_r1,2019-09-24/2020-03-03,6,DNA sequence reads,42,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125498,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.364298,3.20701,BE,BelgiumCoast_AZBE1,7.0,7.0,Marina; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Chordata;Aves;Apodiformesg;Trochilidae;Heliothryx;Heliothryx,no match,no match,no match,ASV_10:b31edbb8a8e1f43a3afb383a8484ce75efe2da5e
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH_r1:ASV_178:4e1ae2c5c4facc8d5354326552634d9029a019bc,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH_r1,2018-07-12/2018-08-18,2,DNA sequence reads,1167,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125497,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.66522,2.82558,BE,BelgiumCoast_AZFPin,37.5,37.5,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Arthropoda;Malacostraca;Decapodag;Potamidae;Sinolapotamon;Sinolapotamon,no match,no match,no match,ASV_178:4e1ae2c5c4facc8d5354326552634d9029a019bc
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH_r1:ASV_203:691bb7339d7cb41348d0a893f91ffcbe8ae25cee,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH_r1,2018-07-12/2018-08-18,2,DNA sequence reads,1167,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125497,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.66522,2.82558,BE,BelgiumCoast_AZFPin,37.5,37.5,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Arthropoda;Malacostraca;Decapodag;Porcellanidae;Pisidia;Pisidia,no match,no match,no match,ASV_203:691bb7339d7cb41348d0a893f91ffcbe8ae25cee
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH_r1:ASV_246:933afbaeb48bc27497aca88a0d31425df3c7d24b,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH_r1,2018-07-12/2018-08-18,2,DNA sequence reads,1167,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125497,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.66522,2.82558,BE,BelgiumCoast_AZFPin,37.5,37.5,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Arthropoda;Insecta;Dipterag;Ceratopogonidae;Culicoides;Culicoides,no match,no match,no match,ASV_246:933afbaeb48bc27497aca88a0d31425df3c7d24b
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH_r1:ASV_268:b352944ad7ec89d281b0c281e84f5eb4f14b0e76,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH_r1,2018-07-12/2018-08-18,2,DNA sequence reads,1167,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125497,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.66522,2.82558,BE,BelgiumCoast_AZFPin,37.5,37.5,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Arthropoda;Malacostraca;Decapodag;Porcellanidae;Pisidia;Pisidia,no match,no match,no match,ASV_268:b352944ad7ec89d281b0c281e84f5eb4f14b0e76
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH_r1:ASV_303:deaa4b1af6a9577ad5ee1a967cba55f742f215f4,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH_r1,2018-07-12/2018-08-18,2,DNA sequence reads,1167,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125497,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.66522,2.82558,BE,BelgiumCoast_AZFPin,37.5,37.5,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Arthropoda;Insecta;Dipterag;Syrphidae;Ocyptamus;Ocyptamus,no match,no match,no match,ASV_303:deaa4b1af6a9577ad5ee1a967cba55f742f215f4
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH_r1:ASV_306:e1c0a68132c2d75c0930fc3770552366efcc25e6,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH_r1,2018-07-12/2018-08-18,2,DNA sequence reads,1167,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125497,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.66522,2.82558,BE,BelgiumCoast_AZFPin,37.5,37.5,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculalesg;Amphipleuraceae;Frustulia;Frustulia,no match,no match,no match,ASV_306:e1c0a68132c2d75c0930fc3770552366efcc25e6
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH_r1:ASV_665:0368badb960faace3e5c7aa5295d960aa1846fbc,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH_r1,2018-07-12/2018-08-18,2,DNA sequence reads,1167,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125497,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.66522,2.82558,BE,BelgiumCoast_AZFPin,37.5,37.5,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Chordata;Aves;Strigiformesg;Strigidae;Ninox;Ninox,no match,no match,no match,ASV_665:0368badb960faace3e5c7aa5295d960aa1846fbc
ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH_r1:ASV_1359:0af3e4d0d8db9916f5ebfa11067e354e5af53dc0,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_BelgiumCoast_AZFPin_20180712_20180818,ARMS_BelgiumCoast_AZFPin_20180712_20180818_MF200_ETOH_r1,2018-07-12/2018-08-18,2,DNA sequence reads,1167,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125497,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.66522,2.82558,BE,BelgiumCoast_AZFPin,37.5,37.5,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Arthropoda;Malacostraca;Decapodag;Pilumnidae;Pilumnus;Pilumnus,no match,no match,no match,ASV_1359:0af3e4d0d8db9916f5ebfa11067e354e5af53dc0
